epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2100.62,0.97152,0.81015,1.24793,0.83735,0.78723,0.86278,0.56753,1.11784,0.88944,1.45306,0.000902395,0.000902395,0.000902395
63,2133.54,0.97924,0.81724,1.26131,0.81705,0.80851,0.8577,0.57211,1.08206,0.87261,1.41549,0.000899282,0.000899282,0.000899282
64,2166.62,0.98627,0.83557,1.27844,0.80456,0.80288,0.86161,0.5739,1.11772,0.83202,1.43031,0.000896127,0.000896127,0.000896127
65,2199.57,0.98363,0.81006,1.26465,0.80839,0.81206,0.85335,0.55865,1.11435,0.84028,1.44797,0.000892928,0.000892928,0.000892928
66,2232.72,1.01166,0.82228,1.27138,0.80879,0.78014,0.8494,0.55921,1.14982,0.85821,1.43971,0.000889687,0.000889687,0.000889687
67,2265.62,1.00191,0.82114,1.27452,0.80899,0.78901,0.8462,0.56947,1.13376,0.96308,1.46304,0.000886404,0.000886404,0.000886404
68,2298.57,0.99213,0.79978,1.26621,0.83613,0.78723,0.85008,0.54516,1.17812,0.85129,1.48048,0.000883079,0.000883079,0.000883079
69,2331.76,1.00651,0.80808,1.27367,0.82361,0.77128,0.85352,0.56815,1.12172,0.83714,1.45863,0.000879713,0.000879713,0.000879713
70,2364.93,0.97738,0.79222,1.25317,0.86821,0.75532,0.85938,0.58057,1.09869,0.82745,1.42128,0.000876305,0.000876305,0.000876305
71,2398.13,0.96537,0.78151,1.23938,0.86337,0.77482,0.85334,0.56885,1.09038,0.83009,1.42748,0.000872857,0.000872857,0.000872857
72,2431.47,0.96533,0.7877,1.25616,0.84912,0.78191,0.84775,0.56826,1.11799,0.83072,1.45312,0.000869368,0.000869368,0.000869368
73,2464.41,0.95436,0.7676,1.24102,0.79757,0.80142,0.84099,0.5612,1.0863,0.85296,1.42353,0.000865839,0.000865839,0.000865839
74,2497.02,0.95807,0.75703,1.24464,0.81059,0.80434,0.86174,0.5712,1.11546,0.82923,1.44098,0.000862271,0.000862271,0.000862271
75,2529.8,0.95704,0.76771,1.23406,0.84099,0.76596,0.85191,0.57504,1.11465,0.81055,1.44329,0.000858664,0.000858664,0.000858664
76,2562.41,0.93102,0.75629,1.23217,0.82923,0.78191,0.85714,0.58604,1.08568,0.83593,1.41838,0.000855018,0.000855018,0.000855018
77,2595.36,0.95616,0.75331,1.22857,0.82958,0.76813,0.84806,0.57914,1.07516,0.79011,1.41934,0.000851333,0.000851333,0.000851333
78,2628.12,0.90295,0.73972,1.21255,0.86223,0.76773,0.85803,0.56913,1.1102,0.83142,1.44881,0.000847611,0.000847611,0.000847611
79,2661.08,0.93255,0.75498,1.21844,0.83386,0.79201,0.85183,0.56573,1.09291,0.8101,1.43546,0.000843851,0.000843851,0.000843851
80,2693.72,0.91138,0.72399,1.20937,0.85762,0.76894,0.8475,0.56128,1.15388,0.83736,1.47987,0.000840054,0.000840054,0.000840054
81,2726.85,0.91322,0.71658,1.20919,0.79251,0.7961,0.84515,0.55125,1.14178,0.859,1.47853,0.00083622,0.00083622,0.00083622
82,2759.57,0.93764,0.72377,1.22109,0.87716,0.77128,0.85378,0.5823,1.07204,0.78126,1.41347,0.000832349,0.000832349,0.000832349
83,2792.53,0.90903,0.73025,1.2151,0.81216,0.78014,0.84556,0.5681,1.10146,0.82118,1.43203,0.000828443,0.000828443,0.000828443
84,2825.54,0.89526,0.71684,1.21959,0.82812,0.77482,0.84104,0.56868,1.12254,0.82168,1.44251,0.000824502,0.000824502,0.000824502
85,2867.61,0.91278,0.73936,1.22888,0.81489,0.78833,0.85202,0.57706,1.08734,0.83561,1.44362,0.000820525,0.000820525,0.000820525
86,2901.45,0.90454,0.72431,1.22046,0.78608,0.77128,0.81863,0.54273,1.0964,0.88946,1.43194,0.000816514,0.000816514,0.000816514
87,2934.47,0.90912,0.71941,1.20601,0.85286,0.78104,0.84536,0.55861,1.10407,0.88362,1.4381,0.000812468,0.000812468,0.000812468
88,2967.57,0.87118,0.69196,1.18352,0.82743,0.7821,0.84612,0.57746,1.06453,0.83261,1.41225,0.000808389,0.000808389,0.000808389
89,3000.34,0.892,0.69753,1.19945,0.82191,0.79376,0.84493,0.57045,1.09356,0.83009,1.41146,0.000804277,0.000804277,0.000804277
90,3033.45,0.93091,0.70014,1.20433,0.81278,0.79433,0.85276,0.56927,1.09401,0.79865,1.4202,0.000800131,0.000800131,0.000800131
91,3066.57,0.88308,0.68015,1.18174,0.86272,0.77999,0.85149,0.57382,1.11047,0.79897,1.46368,0.000795954,0.000795954,0.000795954
92,3099.48,0.91028,0.70793,1.19178,0.82761,0.79164,0.85689,0.59254,1.07497,0.80882,1.43158,0.000791744,0.000791744,0.000791744
93,3134.16,0.859,0.667,1.18138,0.86412,0.79787,0.86668,0.59429,1.06542,0.75729,1.39747,0.000787503,0.000787503,0.000787503
94,3168.7,0.89184,0.68178,1.17528,0.81713,0.80811,0.86011,0.58371,1.07735,0.77708,1.42017,0.000783231,0.000783231,0.000783231
95,3201.61,0.88292,0.69479,1.2006,0.83191,0.76241,0.85567,0.59023,1.08209,0.77877,1.43432,0.000778929,0.000778929,0.000778929
96,3234.43,0.89616,0.68411,1.20182,0.84283,0.77968,0.85926,0.58278,1.10677,0.79282,1.4476,0.000774596,0.000774596,0.000774596
97,3267.54,0.86612,0.67015,1.17081,0.86252,0.7766,0.85581,0.5806,1.06922,0.79566,1.41092,0.000770234,0.000770234,0.000770234
98,3300.4,0.87163,0.66836,1.17681,0.88105,0.76172,0.86462,0.59767,1.03914,0.77495,1.39975,0.000765843,0.000765843,0.000765843
